ObjID ra dec z isFits "Temp_1 [OIII]" "Den_1 [SII]" "Temp_2 [NII]" "Den_2 [OII]" "Temp_3 [NII]" "Den_3 [SII]" "Temp_4 [OIII]" "Den_4 [OII]" "Temp_5 [OIII]" "Den_5 [ArIV]" "Temp_6 [NII]" "Den_6 [ArIV]"
NGC5929SP1 231.52542114257812 41.670555114746094 0.008292797 1 nan nan nan nan nan nan nan nan nan nan nan nan
NGC5273SP1 205.53457641601562 35.65416717529297 0.00361103 1 nan nan nan nan 9813.426111006198 768.3571973035234 nan nan nan nan 6167.5021786497455 112494.0642782592
NGC3982SP1 179.11708068847656 55.12527847290039 0.003713523 1 32687.319673806218 1530.0809935372492 nan nan 16604.731859964148 1168.4562292884923 nan nan nan nan nan nan
Mrk673SP1 214.33792114257812 26.857500076293945 0.03654591 1 nan nan 9465.842021729237 157.53754255768436 nan nan nan nan nan nan nan nan
IC4397SP1 214.4945831298828 26.412500381469727 0.01478105 1 nan nan nan nan 10209.197244168561 148.3005385901094 nan nan nan nan nan nan
Arp299ASP1 172.13958740234375 58.56305694580078 0.0104561 1 26696.687528998904 118.50093029739635 nan nan 7995.627563670651 100.81523802668718 nan nan nan nan nan nan
Iras23060+0505SP1 347.1412353515625 5.358333110809326 0.1729254 1 12651.101396434182 38.777965313630894 10222.512951060315 399.78702332872194 10287.117442704193 42.32870270623382 12651.101396434182 438.7071887566721 12180.972052785119 29415.206202512312 8350.677636279193 25367.672269590432
Iras15250+3609SP1 231.74749755859375 35.97722244262695 0.05520641 1 21005.009943694215 140.02753925229712 nan nan 11873.0400745003 127.89437661791163 nan nan nan nan nan nan
CGCG1510.8+0725SP1 228.30458068847656 7.225555419921875 0.01304206 1 nan nan nan nan 11981.865984197762 189.13160800768972 nan nan nan nan 8704.458695989108 41166.06367842923
3C234SP1 150.4562530517578 28.78583335876465 0.1848955 1 20609.180556346684 3836.2842557467716 5987.951598138543 944.3037855443577 5927.124203845615 2381.947711069578 20698.143972880378 1655.114945161623 20300.809047421255 12313.134085342801 5719.417437314775 7738.170962888009
IRAS10190+1322ESP1 155.4270782470703 13.114999771118164 0.07656299 1 nan nan 9138.506616998928 486.90144059434505 9154.402365000538 161.02620275609394 nan nan nan nan 7816.188882750853 20285.591075652123
IRAS11387+4116SP1 175.34165954589844 40.997501373291016 0.148819 1 nan nan nan nan nan nan nan nan nan nan nan nan
IRAS11506+1331SP1 178.30917358398438 13.241110801696777 0.1272913 1 8945.746546356493 108.56049609166693 7157.406977884048 98.7055815075196 7157.406977884048 101.42623713493992 8945.746546356493 108.56049609166693 nan nan nan nan
IRAS13443+0802SP1 206.71292114257812 7.788610935211182 0.1349844 1 nan nan 7520.167566567931 382.65176686369665 nan nan nan nan nan nan 6522.363286277425 21712.467039032606
IRAS14060+2919SP1 212.07916259765625 29.079721450805664 0.1167485 1 134650.90437560482 586.3179291686442 10209.197244168561 556.9651699425564 10226.955378346653 215.69447746852802 133256.51958621768 1496.9315273563836 nan nan nan nan
IRAS15206+3342SP1 230.65834045410156 33.526668548583984 0.1252955 1 9307.701115166983 210.5438162080582 10485.668641129098 6076.772354880791 11157.811791926639 223.6576867587071 9251.077086246525 5720.4689021242475 nan nan nan nan
IRAS15225+2350SP1 231.18292236328125 23.669721603393555 0.1386644 1 77959.10151732733 386.7193981683848 nan nan 13952.784020536083 212.4607406960125 nan nan 38917.221503586974 225544.90185135952 7317.44497465248 133735.1097727414
IRAS08559+1053SP1 134.67416381835938 10.689444541931152 0.1480287 1 22294.648172946832 22243.632308387587 7888.775967743466 77.5133234783777 6777.27945616964 22243.632308387587 23280.12791470185 108.56049609166693 nan nan nan nan
IRAS13428+5608SP1 206.1754150390625 55.88694381713867 0.03733982 1 nan nan 12091.689370409003 191.43105051842076 nan nan 16877.494172485076 217.65829684457344 nan nan nan nan
NGC0660SP1 25.760000228881836 13.645000457763672 0.002856168 1 nan nan nan nan 15898.739902268033 264.28683245848697 nan nan nan nan nan nan
NGC4676SP1 191.54208374023438 30.731945037841797 0.0218638 1 33261.35771273311 73.18921461198543 nan nan 14099.037662583918 79.89084732933348 nan nan nan nan nan nan
3C192SP1 121.39583587646484 24.163888931274414 0.059678 1 29455.827289198864 95.1912234049912 nan nan 15012.582610296191 96.78616377774233 nan nan nan nan nan nan
