Amplitude Wavelength Sigma "Lambda Vac" Element Flux Flux_Err
32.73944281067073 3727.08747163443 1.640702136327926 3727.092 "[O II]" 134.28171198897675 1.490826478109733e-12
32.046005130783 3729.8093894662106 0.9270643003696524 3729.875 "[O II]" 74.26763552188147 8.245363891440025e-13
8.54464026336454 4341.63302595816 1.0198583743842364 4341.684 "H I" 21.784595067757664 2.4185758986370633e-13
3.8158864228798652 4363.268396637656 3.0842880822502603 4364.436 "[O III]" 29.42159531084068 3.2664532699771404e-13
19.66720633938057 4862.400698966494 1.1406223458467812 4862.683 "H I" 56.07901693161708 6.226021556491636e-13
1.4428349310079138 4931.467624023438 0.721597906403941 4932.603 "[O III]" 2.602721829303547 2.889601696416384e-14
46.84244140913848 4960.15541524197 1.3188160613569986 4960.295 "[O III]" 154.43281643906295 1.7145486961613055e-12
135.35743019744967 5008.063547164922 1.3560259745405083 5008.24 "[O III]" 458.84494450335455 5.094202241030105e-12
0.0 5756.24 0.0 5756.24 "[N II]" 0.0 0.0
0.0 6529.04 0.0 6529.04 "[N II]" 0.0 0.0
14.561825919706777 6549.704244025988 1.710845856091458 6549.85 "[N II]" 62.2791331638192 6.914372774422667e-13
61.176739349713294 6564.3774664588755 1.6467572518516438 6564.61 "H I" 251.84408347787047 2.7960310119718584e-12
47.770657900532235 6585.011114611928 1.676615821304446 6585.28 "[N II]" 200.22146029107296 2.222904748726967e-12
15.293419568188153 6718.224895344285 1.5780599732461358 6718.29 "[S II]" 60.33147590261125 6.698139357616886e-13
14.261808021570529 6732.497796381525 1.5812117801936472 6732.67 "[S II]" 56.37421005365739 6.25879461647362e-13
