Amplitude Wavelength Sigma "Lambda Vac" Element Flux Flux_Err FWHM eqWidth
154.60124894022448 3724.8836587147475 6.130768475489349 3727.092 "[O II]" 2369.429305834002 2.6305949606120205e-11 18.707206974482688 23.782712936401367
83.44756628388733 3732.9671249663966 4.251590958023731 3729.875 "[O II]" 886.9129413907771 9.846711662188368e-12 18.707206974482688 23.782712936401367
25.373017625541944 4342.941283865073 3.694518387831398 4341.684 "H I" 234.3396600606978 2.6016928683040424e-12 9.353603487241344 11.700176263635512
11.100901310324181 4358.4838397740195 5.2668121028183235 4364.436 "[O III]" 146.15777014776344 1.6226772258775418e-12 0.0 2.118804454803467
54.9521470364519 4861.548233124013 6.981156148861143 4862.683 "H I" 959.0204310409036 1.0647265621249735e-11 18.707206974482688 27.9661808013916
129.27913221870156 4930.344231637947 2.1571842800910224 4932.603 "[O III]" 697.1584844255276 7.740014033343068e-12 5.612162092344988 11.294166190782562
245.4039041729395 4960.831521315628 6.788735578498668 4960.295 "[O III]" 4164.723782756143 4.623772241821311e-11 14.965765579586332 46.8873403352336
694.3401850307579 5008.732996005865 6.8321679523672145 5008.24 "[O III]" 11858.961981265882 1.3166092695249265e-10 14.965765579586332 80.7529088704614
10.46353028808645 5743.10518359196 12.228502113057647 5756.24 "[N II]" 319.8654559447659 3.551219919257359e-12 0.0 9.045461202214938
-50.730758626898904 7073.321862745405 99.10681870550007 6529.04 "[N II]" 0.0 0.0 0.0 0.0
280.76873324315767 6556.350275475653 10.654415827876184 6549.85 "[N II]" 7478.150949663249 8.3024153524347e-11 0.0 106.55215607304126
106.0154917548233 6567.345826537778 5.641183102019086 6564.61 "H I" 1495.0488061646593 1.65983761023919e-11 0.0 106.55215607304126
343.5646213500243 6582.006414357041 9.673851148513302 6585.28 "[N II]" 8308.520170347487 9.224310378030953e-11 0.0 106.55215607304126
194.91243588620006 6720.259425717114 9.843877093035783 6718.29 "[S II]" 4796.468246397068 5.325149522728001e-11 26.1900897642754 94.71839141845703
27.455159598929335 6735.997848733644 9.484147943431472 6732.67 "[S II]" 650.9357657969894 7.226838702120708e-12 26.1900897642754 94.71839141845703
